name,id,variable,date,value
Fort Belknap,fort-belknap,shrnpp,1986-01-01,0.002
Fort Belknap,fort-belknap,shrnpp,1987-01-01,0.003
Fort Belknap,fort-belknap,shrnpp,1988-01-01,0.001
Fort Belknap,fort-belknap,shrnpp,1989-01-01,0.001
Fort Belknap,fort-belknap,shrnpp,1990-01-01,0
Fort Belknap,fort-belknap,shrnpp,1991-01-01,0.001
Fort Belknap,fort-belknap,shrnpp,1992-01-01,0
Fort Belknap,fort-belknap,shrnpp,1993-01-01,0.001
Fort Belknap,fort-belknap,shrnpp,1994-01-01,0.001
Fort Belknap,fort-belknap,shrnpp,1995-01-01,0.001
Fort Belknap,fort-belknap,shrnpp,1996-01-01,0.001
Fort Belknap,fort-belknap,shrnpp,1997-01-01,0.001
Fort Belknap,fort-belknap,shrnpp,1998-01-01,0.002
Fort Belknap,fort-belknap,shrnpp,1999-01-01,0.003
Fort Belknap,fort-belknap,shrnpp,2000-01-01,0.002
Fort Belknap,fort-belknap,shrnpp,2001-01-01,0.001
Fort Belknap,fort-belknap,shrnpp,2002-01-01,0.001
Fort Belknap,fort-belknap,shrnpp,2003-01-01,0.001
Fort Belknap,fort-belknap,shrnpp,2004-01-01,0.002
Fort Belknap,fort-belknap,shrnpp,2005-01-01,0.002
Fort Belknap,fort-belknap,shrnpp,2006-01-01,0.002
Fort Belknap,fort-belknap,shrnpp,2007-01-01,0.002
Fort Belknap,fort-belknap,shrnpp,2008-01-01,0.001
Fort Belknap,fort-belknap,shrnpp,2009-01-01,0.001
Fort Belknap,fort-belknap,shrnpp,2010-01-01,0.004
Fort Belknap,fort-belknap,shrnpp,2011-01-01,0.001
Fort Belknap,fort-belknap,shrnpp,2012-01-01,0.001
Fort Belknap,fort-belknap,shrnpp,2013-01-01,0.001
Fort Belknap,fort-belknap,shrnpp,2014-01-01,0.002
Fort Belknap,fort-belknap,shrnpp,2015-01-01,0.004
Fort Belknap,fort-belknap,shrnpp,2016-01-01,0.002
Fort Belknap,fort-belknap,shrnpp,2017-01-01,0.001
Fort Belknap,fort-belknap,shrnpp,2018-01-01,0.002
Fort Belknap,fort-belknap,shrnpp,2019-01-01,0.003
Fort Belknap,fort-belknap,shrnpp,2020-01-01,0.001
