scenario,month,grp,upper,lower,value,location,variable
Historical Emissions,Apr,Mid Century (2040-2069),0,0,0,Lemhi,above90
Historical Emissions,Aug,Mid Century (2040-2069),4,0,0.8,Lemhi,above90
Historical Emissions,Dec,Mid Century (2040-2069),0,0,0,Lemhi,above90
Historical Emissions,Feb,Mid Century (2040-2069),0,0,0,Lemhi,above90
Historical Emissions,Jan,Mid Century (2040-2069),0,0,0,Lemhi,above90
Historical Emissions,Jul,Mid Century (2040-2069),5.6,0,1.4,Lemhi,above90
Historical Emissions,Jun,Mid Century (2040-2069),1.4,0,0,Lemhi,above90
Historical Emissions,Mar,Mid Century (2040-2069),0,0,0,Lemhi,above90
Historical Emissions,May,Mid Century (2040-2069),0,0,0,Lemhi,above90
Historical Emissions,Nov,Mid Century (2040-2069),0,0,0,Lemhi,above90
Historical Emissions,Oct,Mid Century (2040-2069),0,0,0,Lemhi,above90
Historical Emissions,Sep,Mid Century (2040-2069),0.58,0,0,Lemhi,above90
Historical Emissions,Apr,End-of-Century (2070-2099),0,0,0,Lemhi,above90
Historical Emissions,Aug,End-of-Century (2070-2099),4,0,0.8,Lemhi,above90
Historical Emissions,Dec,End-of-Century (2070-2099),0,0,0,Lemhi,above90
Historical Emissions,Feb,End-of-Century (2070-2099),0,0,0,Lemhi,above90
Historical Emissions,Jan,End-of-Century (2070-2099),0,0,0,Lemhi,above90
Historical Emissions,Jul,End-of-Century (2070-2099),5.6,0,1.4,Lemhi,above90
Historical Emissions,Jun,End-of-Century (2070-2099),1.4,0,0,Lemhi,above90
Historical Emissions,Mar,End-of-Century (2070-2099),0,0,0,Lemhi,above90
Historical Emissions,May,End-of-Century (2070-2099),0,0,0,Lemhi,above90
Historical Emissions,Nov,End-of-Century (2070-2099),0,0,0,Lemhi,above90
Historical Emissions,Oct,End-of-Century (2070-2099),0,0,0,Lemhi,above90
Historical Emissions,Sep,End-of-Century (2070-2099),0.58,0,0,Lemhi,above90
"Moderating Emissions
(SSP1-2.6)",Apr,End-of-Century (2070-2099),0,0,0,Lemhi,above90
"Moderating Emissions
(SSP1-2.6)",Apr,Mid Century (2040-2069),0,0,0,Lemhi,above90
"Moderating Emissions
(SSP1-2.6)",Aug,End-of-Century (2070-2099),6.2,0,3.3,Lemhi,above90
"Moderating Emissions
(SSP1-2.6)",Aug,Mid Century (2040-2069),8.6,0.4,3.4,Lemhi,above90
"Moderating Emissions
(SSP1-2.6)",Dec,End-of-Century (2070-2099),0,0,0,Lemhi,above90
"Moderating Emissions
(SSP1-2.6)",Dec,Mid Century (2040-2069),0,0,0,Lemhi,above90
"Moderating Emissions
(SSP1-2.6)",Feb,End-of-Century (2070-2099),0,0,0,Lemhi,above90
"Moderating Emissions
(SSP1-2.6)",Feb,Mid Century (2040-2069),0,0,0,Lemhi,above90
"Moderating Emissions
(SSP1-2.6)",Jan,End-of-Century (2070-2099),0,0,0,Lemhi,above90
"Moderating Emissions
(SSP1-2.6)",Jan,Mid Century (2040-2069),0,0,0,Lemhi,above90
"Moderating Emissions
(SSP1-2.6)",Jul,End-of-Century (2070-2099),12.34,0.84,3.6,Lemhi,above90
"Moderating Emissions
(SSP1-2.6)",Jul,Mid Century (2040-2069),11,0.4,4,Lemhi,above90
"Moderating Emissions
(SSP1-2.6)",Jun,End-of-Century (2070-2099),2.6,0,0.1,Lemhi,above90
"Moderating Emissions
(SSP1-2.6)",Jun,Mid Century (2040-2069),3.62,0,0.2,Lemhi,above90
"Moderating Emissions
(SSP1-2.6)",Mar,End-of-Century (2070-2099),0,0,0,Lemhi,above90
"Moderating Emissions
(SSP1-2.6)",Mar,Mid Century (2040-2069),0,0,0,Lemhi,above90
"Moderating Emissions
(SSP1-2.6)",May,End-of-Century (2070-2099),0.3,0,0,Lemhi,above90
"Moderating Emissions
(SSP1-2.6)",May,Mid Century (2040-2069),0.4,0,0,Lemhi,above90
"Moderating Emissions
(SSP1-2.6)",Nov,End-of-Century (2070-2099),0,0,0,Lemhi,above90
"Moderating Emissions
(SSP1-2.6)",Nov,Mid Century (2040-2069),0,0,0,Lemhi,above90
"Moderating Emissions
(SSP1-2.6)",Oct,End-of-Century (2070-2099),0.12,0,0,Lemhi,above90
"Moderating Emissions
(SSP1-2.6)",Oct,Mid Century (2040-2069),0,0,0,Lemhi,above90
"Moderating Emissions
(SSP1-2.6)",Sep,End-of-Century (2070-2099),0.64,0,0,Lemhi,above90
"Moderating Emissions
(SSP1-2.6)",Sep,Mid Century (2040-2069),1.8,0,0,Lemhi,above90
"Middle of the Road
(SSP2-4.5)",Apr,End-of-Century (2070-2099),0,0,0,Lemhi,above90
"Middle of the Road
(SSP2-4.5)",Apr,Mid Century (2040-2069),0,0,0,Lemhi,above90
"Middle of the Road
(SSP2-4.5)",Aug,End-of-Century (2070-2099),13.62,0.88,4.4,Lemhi,above90
"Middle of the Road
(SSP2-4.5)",Aug,Mid Century (2040-2069),11.62,0.4,4,Lemhi,above90
"Middle of the Road
(SSP2-4.5)",Dec,End-of-Century (2070-2099),0,0,0,Lemhi,above90
"Middle of the Road
(SSP2-4.5)",Dec,Mid Century (2040-2069),0,0,0,Lemhi,above90
"Middle of the Road
(SSP2-4.5)",Feb,End-of-Century (2070-2099),0,0,0,Lemhi,above90
"Middle of the Road
(SSP2-4.5)",Feb,Mid Century (2040-2069),0,0,0,Lemhi,above90
"Middle of the Road
(SSP2-4.5)",Jan,End-of-Century (2070-2099),0,0,0,Lemhi,above90
